synthetic_label,activity,responsible,accountable,consulted,informed,deadline,escalation_authority,alternate
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Service suspension,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Manual operations,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Third-party disconnection,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Identity isolation,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Failover,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Recovery-point selection,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Data reconciliation,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Service restoration,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Customer communication,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Regulatory escalation,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
SYNTHETIC DEMONSTRATION DATA - NOT A REAL BANK ASSESSMENT,Residual-risk acceptance,Technology Operations,Chief Operations Officer,Chief Risk Officer,Executive Sponsor,Before 75% of MTD,Chief Executive Officer,Alternate Chief Operations Officer
